O que é Day Trade?,É uma operação de compra e venda de um ativo que é aberta e fechada no mesmo dia.
"Qual é o principal objetivo de um Day Trader iniciante, segundo Fabrício Lorenz?","O foco inicial não deve ser em ganhar dinheiro, mas sim em entender o mercado, analisar corretamente e dominar as estratégias."
"Em análise técnica, o que caracteriza uma tendência de alta?","A formação de topos e fundos ascendentes, onde o mercado sobe cada vez mais e cai cada vez menos."
"Em análise técnica, o que caracteriza uma tendência de baixa?","A formação de topos e fundos descendentes, onde o mercado cai cada vez mais e sobe cada vez menos."
O que é um mercado lateralizado ou em consolidação?,"É quando o mercado não está em uma tendência clara de alta ou de baixa, movimentando-se dentro de uma faixa de preços."
"Dentro de uma tendência, a movimentação principal a favor da tendência é chamada de _____.",impulso
"Dentro de uma tendência, a pequena retração ou recuo contra a movimentação principal é chamada de _____.",pullback (ou correção/recuo)
O que é um nível de 'suporte' em análise técnica?,"É uma região de preço onde a força compradora tende a superar a vendedora, fazendo com que o preço pare de cair e potencialmente suba."
O que é um nível de 'resistência' em análise técnica?,"É uma região de preço onde a força vendedora tende a superar a compradora, fazendo com que o preço pare de subir e potencialmente caia."
O que acontece com um nível de suporte após ser rompido de forma significativa?,Ele tende a se transformar em um nível de resistência (princípio da polaridade).
O que acontece com um nível de resistência após ser rompido de forma significativa?,Ela tende a se transformar em um nível de suporte (princípio da polaridade).
Por que a análise técnica é comparada mais à psicologia ou a uma ciência humana do que a uma ciência exata como a engenharia?,"Porque ela reflete o comportamento agregado das pessoas (medo, ganância, expectativas) em relação a um ativo, não seguindo regras matemáticas rígidas."
Qual é a analogia usada por 'Curinga Econômico' para descrever o mercado financeiro: xadrez ou pôquer?,"Pôquer, porque se trabalha com probabilidades e informações incompletas, não com movimentos previsíveis como no xadrez."
"Segundo 'Curinga Econômico', quais são as duas coisas que um grande investidor institucional não consegue esconder?",O volume de suas operações e o impacto que causam nos preços (visível nos candles).
Qual plataforma gráfica é recomendada e utilizada nos vídeos para análise técnica?,TradingView.
O que é 'alavancagem' no contexto de trading?,É um serviço oferecido pela corretora que permite ao trader operar um volume financeiro maior do que o capital que ele possui em conta.
Por que a alavancagem é considerada perigosa para iniciantes?,"Porque ela potencializa tanto os ganhos quanto as perdas, e iniciantes têm maior probabilidade de perder dinheiro."
O que é a 'margem' exigida pela corretora em operações alavancadas?,É a garantia (em dinheiro ou outros ativos) que o trader precisa ter na conta para que a corretora tenha segurança de que ele honrará possíveis prejuízos.
Qual é a variação mínima de preço (tick) nas ações no mercado brasileiro?,"Um centavo ($R\$ 0,01)."
Qual é a variação mínima de preço (tick) no contrato de mini-índice (WIN)?,Cinco pontos.
Cada ponto no mini-índice (WIN) equivale a quantos reais?,"Vinte centavos ($R\$ 0,20)."
Qual é a variação mínima de preço (tick) no contrato de mini-dólar (WDO)?,"Meio ponto (0,5 ponto)."
